epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7978,1.45044,3.53452,1.72248,0.54694,0.51266,0.49222,0.34132,1.05127,3.35493,1.39119,0.00019,0.00019,0.00019
2,44.8136,1.22237,1.84879,1.39845,0.38202,0.63312,0.6027,0.36989,1.32608,3.19708,1.67505,0.000382278,0.000382278,0.000382278
3,58.2386,1.25601,1.32925,1.38425,0.64026,0.557,0.64591,0.3851,1.44787,1.86061,1.72271,0.000566636,0.000566636,0.000566636
4,72.2824,1.22935,1.16562,1.34774,0.63853,0.49517,0.60038,0.34057,1.42607,1.76562,1.91468,0.000743074,0.000743074,0.000743074
5,85.3413,1.31568,1.16888,1.41299,0.59129,0.59282,0.66814,0.38736,1.46192,2.96974,1.76447,0.000911592,0.000911592,0.000911592
6,99.4802,1.23832,1.00701,1.34006,0.82993,0.86548,0.90583,0.50983,1.46994,1.6846,1.69355,0.000901,0.000901,0.000901
7,113.096,1.19829,0.95253,1.32878,0.68888,0.63612,0.73391,0.42935,1.49132,1.8944,1.84079,0.0008812,0.0008812,0.0008812
8,125.978,1.23284,0.92332,1.34879,0.688,0.75346,0.79124,0.50563,1.26983,1.58419,1.5169,0.0008614,0.0008614,0.0008614
9,138.296,1.20018,0.90734,1.3247,0.56249,0.64315,0.64306,0.40063,1.26646,2.6267,1.59222,0.0008416,0.0008416,0.0008416
10,151.52,1.17787,0.89158,1.3191,0.6901,0.94322,0.88215,0.52934,1.33999,1.19008,1.70273,0.0008218,0.0008218,0.0008218
11,164.758,1.17904,0.8803,1.30341,0.83538,0.87952,0.91343,0.59251,1.18707,0.75151,1.47135,0.000802,0.000802,0.000802
12,177.608,1.16488,0.82093,1.29656,0.84973,0.80842,0.89644,0.57506,1.14963,1.32482,1.38227,0.0007822,0.0007822,0.0007822
13,190.231,1.18205,0.82804,1.33086,0.81238,0.885,0.94282,0.65441,1.15969,1.30653,1.35073,0.0007624,0.0007624,0.0007624
14,203.265,1.16551,0.79033,1.32316,0.74863,0.7791,0.86888,0.54759,1.16363,1.81754,1.42405,0.0007426,0.0007426,0.0007426
15,217.469,1.10697,0.75543,1.26947,0.81118,1,0.95156,0.61891,1.18753,0.70082,1.53423,0.0007228,0.0007228,0.0007228
16,230.633,1.09391,0.74112,1.26495,0.88574,0.82641,0.91194,0.65006,1.07248,0.86875,1.27917,0.000703,0.000703,0.000703
17,244.072,1.08486,0.72759,1.25119,0.77,0.83438,0.86193,0.5806,1.10577,1.36308,1.3202,0.0006832,0.0006832,0.0006832
18,257.067,1.09474,0.71861,1.24591,0.83832,0.83874,0.87914,0.6176,1.10594,0.80081,1.30285,0.0006634,0.0006634,0.0006634
19,269.708,1.066,0.72134,1.23422,0.85215,0.94192,0.92049,0.65582,1.0049,0.6978,1.25257,0.0006436,0.0006436,0.0006436
20,283.552,1.04831,0.68093,1.24724,0.91816,0.92544,0.98648,0.71092,0.97605,0.52998,1.24221,0.0006238,0.0006238,0.0006238
21,296.86,1.07312,0.66708,1.24432,0.93934,0.96071,0.97952,0.65938,1.04553,0.51178,1.36678,0.000604,0.000604,0.000604
22,311.462,1.0028,0.64601,1.18736,0.86932,0.86297,0.95578,0.62677,1.24912,0.90977,1.50165,0.0005842,0.0005842,0.0005842
23,323.684,0.99714,0.65076,1.20088,0.97312,0.97251,0.995,0.71642,1.02507,0.45021,1.24177,0.0005644,0.0005644,0.0005644
24,336.618,1.00521,0.62361,1.20569,0.94654,0.99199,0.995,0.72489,1.01098,0.5135,1.22263,0.0005446,0.0005446,0.0005446
25,349.361,1.01169,0.64661,1.22221,0.95595,0.94789,0.991,0.72551,1.08102,0.50069,1.28105,0.0005248,0.0005248,0.0005248
26,362.306,0.98476,0.62343,1.1957,0.94808,1,0.99119,0.70436,1.05597,0.4779,1.28494,0.000505,0.000505,0.000505
